#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  14
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  8
#! SET periodic_psi true
   -3.141592654   -3.141592654 -198.889188859   59.514383707  -17.637532215
   -2.692793703   -3.141592654 -163.748950061   48.309660611  -10.290230825
   -2.243994753   -3.141592654 -135.276233041   40.292918871   -5.897321514
   -1.795195802   -3.141592654 -142.366166248  -25.800668610   -5.028662352
   -1.346396852   -3.141592654 -191.977732265  -20.828723767   -8.995455852
   -0.897597901   -3.141592654 -218.475839500  -37.509052470  -18.022989821
   -0.448798951   -3.141592654 -250.085055994  -52.778284777  -26.845385812
    0.000000000   -3.141592654 -184.323629389    2.101734540  -19.470666912
    0.448798951   -3.141592654 -182.451543337   -2.415548328  -23.958589298
    0.897597901   -3.141592654 -185.976649668  -13.881836915  -25.993845850
    1.346396852   -3.141592654 -190.920251909   -7.393635547  -25.568956692
    1.795195802   -3.141592654 -199.282861659   -4.124661788  -23.370293786
    2.243994753   -3.141592654 -295.066585212   56.424484086  -36.452714402
    2.692793703   -3.141592654 -239.063914081   71.801714016  -27.865728445

   -3.141592654   -2.356194490 -209.450248793   70.307715898   -8.456230817
   -2.692793703   -2.356194490 -169.194114694   55.535437134   -4.107276850
   -2.243994753   -2.356194490 -138.230625531   43.540336169   -1.472522041
   -1.795195802   -2.356194490 -144.688501518  -32.880489378   -1.001188124
   -1.346396852   -2.356194490 -195.925779101  -32.315469807   -0.935668109
   -0.897597901   -2.356194490 -229.194606795  -51.134107220   -8.579505223
   -0.448798951   -2.356194490 -268.275676534  -66.858865423  -17.751393040
    0.000000000   -2.356194490 -198.218541030   -4.404153404  -16.096917428
    0.448798951   -2.356194490 -198.799710825   -5.949855919  -17.317032434
    0.897597901   -2.356194490 -202.687629483  -12.524418227  -15.786940161
    1.346396852   -2.356194490 -206.233709243   -2.606877857  -12.355593748
    1.795195802   -2.356194490 -212.091529442    3.511656421   -7.883424862
    2.243994753   -2.356194490 -315.921925594   71.649107826  -14.365639559
    2.692793703   -2.356194490 -255.775148735   85.133223802  -13.024134886

   -3.141592654   -1.570796327 -210.571465150   69.937450460    3.751152277
   -2.692793703   -1.570796327 -169.298885863   52.754328360    3.309938655
   -2.243994753   -1.570796327 -136.648010677   40.126947894    4.015468331
   -1.795195802   -1.570796327 -143.213420690  -40.288292113    4.159792685
