#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  124
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  83
#! SET periodic_psi true
   -3.141592654   -3.141592654   61.563920653   43.526341821  -17.515089426
   -3.090921804   -3.141592654   63.699420666   39.898127323  -17.045804878
   -3.040250955   -3.141592654   65.636113174   35.702251400  -16.477841163
   -2.989580106   -3.141592654   67.356661322   31.069120727  -15.836214341
   -2.938909257   -3.141592654   68.821733446   26.025981064  -15.167446229
   -2.888238407   -3.141592654   70.019776162   20.857823519  -14.609297880
   -2.837567558   -3.141592654   70.959103463   15.654540842  -14.080342503
   -2.786896709   -3.141592654   71.644852635   10.844754920  -13.747908026
   -2.736225860   -3.141592654   72.092300099    6.592314438  -13.438146207
   -2.685555010   -3.141592654   72.356723811    3.276220732  -13.329862845
   -2.634884161   -3.141592654   72.444012928    0.588333018  -13.370602333
   -2.584213312   -3.141592654   72.430609387   -1.492568827  -13.500952901
   -2.533542463   -3.141592654   72.314454269   -3.177161163  -13.777701316
   -2.482871613   -3.141592654   72.121611200   -4.545955003  -14.233190303
   -2.432200764   -3.141592654   71.867380424   -5.642651569  -14.832867127
   -2.381529915   -3.141592654   71.560249929   -6.724871716  -15.436794468
   -2.330859066   -3.141592654   71.191326153   -7.836174912  -16.122783079
   -2.280188216   -3.141592654   70.785182270   -8.574599574  -16.839048103
   -2.229517367   -3.141592654   70.322075141   -9.100833387  -17.558348724
   -2.178846518   -3.141592654   69.848110474   -9.482517532  -18.228465110
   -2.128175669   -3.141592654   69.365728025   -9.458792285  -18.860744635
   -2.077504819   -3.141592654   68.898310637   -9.127195267  -19.448717707
   -2.026833970   -3.141592654   68.436303638   -8.654048065  -20.061128580
   -1.976163121   -3.141592654   67.993375233   -8.415714879  -20.564928866
   -1.925492272   -3.141592654   67.566770178   -8.172530989  -21.068608673
   -1.874821422   -3.141592654   67.148527532   -8.174437078  -21.458050374
   -1.824150573   -3.141592654   66.728537683   -8.232260549  -21.857990178
   -1.773479724   -3.141592654   66.301573445   -8.339375666  -22.200018579
   -1.722808875   -3.141592654   65.867413444   -8.417484605  -22.461018281
   -1.672138025   -3.141592654   65.428103011   -8.182284340  -22.727664704
   -1.621467176   -3.141592654   65.005992018   -8.024817781  -23.053548383
   -1.570796327   -3.141592654   64.606836802   -7.867319399  -23.440507481
   -1.520125478   -3.141592654   64.192085735   -7.854792510  -23.936237141
   -1.469454628   -3.141592654   63.766618270   -8.462710883  -24.537225500
   -1.418783779   -3.141592654   63.291482721   -9.762672547  -25.398422687
   -1.368112930   -3.141592654   62.723946181  -12.066340476  -26.555412629
   -1.317442081   -3.141592654   62.015624223  -15.411388745  -28.035614154
   -1.266771231   -3.141592654   61.120579744  -19.662366427  -29.894224866
   -1.216100382   -3.141592654   59.989578833  -24.764608245  -32.052647069
   -1.165429533   -3.141592654   58.576233065  -30.365067760  -34.473142231
   -1.114758684   -3.141592654   56.868001427  -36.122980639  -37.069475752
   -1.064087834   -3.141592654   54.874096711  -41.911239096  -39.682070908
   -1.013416985   -3.141592654   52.591623669  -47.267593704  -42.269299179
   -0.962746136   -3.141592654   50.052882649  -52.176376612  -44.587642405
   -0.912075287   -3.141592654   47.278113598  -56.336237023  -46.616328022
   -0.861404437   -3.141592654   44.313962241  -59.719366515  -48.165151223
   -0.810733588   -3.141592654   41.197399485  -62.300699460  -49.214278207
   -0.760062739   -3.141592654   37.977237058  -63.857620997  -49.698740946
   -0.709391890   -3.141592654   34.702726045  -64.454318194  -49.448193809
   -0.658721040   -3.141592654   31.427348530  -63.980764329  -48.626644700
   -0.608050191   -3.141592654   28.199327394  -62.208834368  -47.185068961
   -0.557379342   -3.141592654   25.090123623  -59.647709445  -45.289542107
   -0.506708493   -3.141592654   22.134668941  -56.155564171  -42.948709959
   -0.456037643   -3.141592654   19.377990507  -51.992155104  -40.240071492
   -0.405366794   -3.141592654   16.843081594  -47.419899945  -37.261142951
   -0.354695945   -3.141592654   14.545142568  -42.537998563  -34.025313774
   -0.304025096   -3.141592654   12.503141614  -37.535309541  -30.672587113
   -0.253354246   -3.141592654   10.716284422  -32.600436138  -27.222675525
   -0.202683397   -3.141592654    9.184151939  -27.547535772  -23.616590997
   -0.152012548   -3.141592654    7.912395457  -22.368366237  -19.918406526
   -0.101341699   -3.141592654    6.915450306  -16.974392645  -16.183372983
   -0.050670849   -3.141592654    6.209827230  -11.038350538  -12.334449179
    0.000000000   -3.141592654    5.807411255   -4.643428801   -8.402488938
    0.050670849   -3.141592654    5.742788626    2.179455412   -4.438813880
    0.101341699   -3.141592654    6.037420139    9.439553631   -0.376976582
    0.152012548   -3.141592654    6.705724536   17.054987352    3.601864113
    0.202683397   -3.141592654    7.782373240   25.125436295    7.586043415
    0.253354246   -3.141592654    9.263529306   33.203036839   11.383219101
    0.304025096   -3.141592654   11.153459440   40.998157859   14.979072773
    0.354695945   -3.141592654   13.423555959   48.289320511   18.241083352
    0.405366794   -3.141592654   16.066103555   54.987643721   21.053642346
    0.456037643   -3.141592654   19.008055921   60.477378710   23.415246490
    0.506708493   -3.141592654   22.183427494   64.420482086   25.149909591
    0.557379342   -3.141592654   25.526717130   66.581983355   26.286496875
    0.608050191   -3.141592654   28.921505198   66.688826164   26.776256586
    0.658721040   -3.141592654   32.267087574   64.666107992   26.691287904
    0.709391890   -3.141592654   35.459309058   60.504407926   26.061492340
    0.760062739   -3.141592654   38.389421110   54.538715412   24.994352696
